snapshot_id,captured_at,game_pk,game_date_utc,status,home_lineup_ids,away_lineup_ids,home_lineup_names,away_lineup_names,confirmed
e392733d27ddef0836be,2026-08-11T19:16:24Z,822697,2026-08-11T22:45:00Z,Pre-Game,686611|665953|691781|682928|695670|696285|695734|683083|687605,691718|673548|683737|608324|664023|663538|624424|608348|621020,Dylan Crews|Andrés Chaparro|Brady House|CJ Abrams|Harry Ford|Jacob Young|Daylen Lile|Nasim Nuñez|Andrew Pinckney,Pete Crow-Armstrong|Seiya Suzuki|Michael Busch|Alex Bregman|Ian Happ|Nico Hoerner|Michael Conforto|Carson Kelly|Dansby Swanson,1
68937434ebdc8dc154d5,2026-08-11T19:16:24Z,823832,2026-08-11T22:40:00Z,Pre-Game,669364|672640|665052|681715|805300|691594|683357|691788|665923,663968|664040|668804|687462|693304|682927|699013|694378|680779,Xavier Edwards|Otto Lopez|Griffin Conine|Heriberto Hernández|Jakob Marsee|Javier Sanoja|Owen Caissie|Joe Mack|Esteury Ruiz,Jake Mangum|Brandon Lowe|Bryan Reynolds|Spencer Horwitz|Nick Gonzales|Ronny Simon|Esmerlyn Valdez|Jacob Gonzalez|Henry Davis,1
5939a73fc25955c4f1ac,2026-08-11T19:16:24Z,824240,2026-08-11T22:40:00Z,Pre-Game,805808|650402|693307|682985|690993|679529|703601|595879|656716,680757|800050|608070|663993|666176|683953|682657|672275|677587,Kevin McGonigle|Gleyber Torres|Dillon Dingler|Riley Greene|Colt Keith|Spencer Torkelson|Max Clark|Javier Báez|Zach McKinstry,Steven Kwan|Chase DeLauter|José Ramírez|Nathaniel Lowe|Jo Adell|Travis Bazzana|Angel Martínez|Patrick Bailey|Brayan Rocchio,1
b7744e0496eb5994b83f,2026-08-11T20:59:02Z,823019,2026-08-11T23:45:00Z,Pre-Game,802139|671056|691023|676475|665877|691026|691458|677592|686780,656941|607208|547180|650333|592663|681082|669016|664761|702222,JJ Wetherholt|Iván Herrera|Jordan Walker|Alec Burleson|José Fermín|Masyn Winn|Blaze Jordan|Everson Pereira|Pedro Pagés,Kyle Schwarber|Trea Turner|Bryce Harper|Luis Arraez|J.T. Realmuto|Bryson Stott|Brandon Marsh|Alec Bohm|Justin Crawford,1
af3d5c27b1bbca961005,2026-08-11T20:59:02Z,823512,2026-08-11T23:05:00Z,Pre-Game,663757|700250|671218|671277|665862|806146|682987|641857|669224,621493|668227|677594|686527|702284|663728|680977|642215|806068,Trent Grisham|Ben Rice|Heliot Ramos|Luis García Jr.|Jazz Chisholm Jr.|George Lombard Jr.|Spencer Jones|Ryan McMahon|Austin Wells,Taylor Ward|Randy Arozarena|Julio Rodríguez|Dominic Canzone|Cole Young|Cal Raleigh|Brendan Donovan|Weston Wilson|Colt Emerson,1
d2bc2369bac944899666,2026-08-11T20:59:02Z,823673,2026-08-11T23:40:00Z,Pre-Game,663616|680777|605137|665019|668904|686797|807712|702176|701785,683002|624413|702616|641933|687952|691723|681047|669236|650968,Trevor Larnach|Ryan Jeffers|Josh Bell|Kody Clemens|Royce Lewis|Brooks Lee|Luke Keaschall|Alan Roden|Kaelen Culpepper,Gunnar Henderson|Pete Alonso|Jackson Holliday|Tyler O'Neill|Christian Encarnacion-Strand|Coby Mayo|Christian Franklin|Jeremiah Jackson|Yohel Pozo,1
466e585f56be38520945,2026-08-11T20:59:02Z,824563,2026-08-11T23:40:00Z,Pre-Game,686668|808959|678246|545341|695731|695657|700337|803011|682668,682829|701398|668709|663886|553993|699302|667472|680574|663647,Brenton Doyle|Munetaka Murakami|Miguel Vargas|Randal Grichuk|Braden Montgomery|Colson Montgomery|Edgar Quero|Sam Antonacci|Luisangel Acuña,Elly De La Cruz|Sal Stewart|JJ Bleday|Tyler Stephenson|Eugenio Suárez|Héctor Rodríguez|Dane Myers|Matt McLain|Ke'Bryan Hayes,1
a236ce08e2a8ddd0c4e3,2026-08-11T20:59:02Z,824886,2026-08-11T23:15:00Z,Pre-Game,686948|660670|621566|671739|645277|643289|573262|663586|805347,805999|596019|666182|673357|701807|543760|682626|593871|672356,Drake Baldwin|Ronald Acuña Jr.|Matt Olson|Michael Harris II|Ozzie Albies|Mauricio Dubón|Mike Yastrzemski|Austin Riley|Jim Jarvis,A.J. Ewing|Francisco Lindor|Bo Bichette|Luis Robert Jr.|Carson Benge|Marcus Semien|Francisco Alvarez|Jorge Polanco|Gabriel Arias,1
c7eb8a93a906aca77b0e,2026-08-11T22:56:38Z,822778,2026-08-11T23:07:00Z,Warmup,807727|703520|665489|543807|672386|676391|665926|664702|664770,807799|678882|668939|575929|677800|702332|680776|655316|686765,Charles McAdoo|Brett Bateman|Vladimir Guerrero Jr.|George Springer|Alejandro Kirk|Ernie Clement|Andrés Giménez|Myles Straw|Nathan Lukes,Masataka Yoshida|Ceddanne Rafaela|Adley Rutschman|Willson Contreras|Wilyer Abreu|Caleb Durbin|Jarren Duran|Andruw Monasterio|Nick Sogard,1
ac273899c97f771396a0,2026-08-11T22:56:38Z,823186,2026-08-12T01:45:00Z,Pre-Game,808982|642715|805811|646240|682674|687551|678545|701852|683766,665161|670541|670623|514888|572233|676369|662139|701358|673237,Jung Hoo Lee|Willy Adames|Bryce Eldridge|Rafael Devers|Victor Bericoto|Drew Gilbert|Osleivis Basabe|Drew Cavanaugh|Christian Koss,Jeremy Peña|Yordan Alvarez|Isaac Paredes|Jose Altuve|Christian Walker|Nelson Velázquez|Daulton Varsho|Cam Smith|Yainer Diaz,1
6f1ebdbf3b97ce558d8f,2026-08-11T22:56:38Z,823264,2026-08-12T01:40:00Z,Pre-Game,665487|650859|592518|664034|701538|669720|669134|593428|630105,668930|694192|669003|641343|661388|592885|800325|666152|678225,Fernando Tatis Jr.|Luis Rengifo|Manny Machado|Ty France|Jackson Merrill|Austin Hays|Luis Campusano|Xander Bogaerts|Jake Cronenworth,Brice Turang|Jackson Chourio|Garrett Mitchell|Jake Bauers|William Contreras|Christian Yelich|Luis Lara|David Hamilton|Jihwan Bae,1
