audit_id,event_id,home_team,away_team,commence_time,snapshot_role,requested_snapshot,returned_snapshot,status,quote_count,odds_credits_used,discovery_credits_used,credits_remaining,error
f3f35ffb96886f0fc5bc82c753ce5342|close|2020-07-25T17:50:00Z|us,f3f35ffb96886f0fc5bc82c753ce5342,Chicago White Sox,Minnesota Twins,2020-07-25T18:10:00Z,close,2020-07-25T17:50:00Z,2020-07-25T17:45:00Z,offered,22,30,0,4999414,
675d7ec251ae4d5a25452589e41fe759|close|2020-07-25T17:55:00Z|us,675d7ec251ae4d5a25452589e41fe759,St. Louis Cardinals,Pittsburgh Pirates,2020-07-25T18:15:00Z,close,2020-07-25T17:55:00Z,2020-07-25T17:55:00Z,offered,19,30,0,4999384,
ca77205b9beac70a2299fa685d21b401|close|2020-07-25T18:50:00Z|us,ca77205b9beac70a2299fa685d21b401,Tampa Bay Rays,Toronto Blue Jays,2020-07-25T19:10:00Z,close,2020-07-25T18:50:00Z,2020-07-25T18:45:00Z,offered,22,30,0,4999354,
5bf359d2100c9e4dec4c01bd5be5e66c|close|2020-07-25T19:45:00Z|us,5bf359d2100c9e4dec4c01bd5be5e66c,Philadelphia Phillies,Miami Marlins,2020-07-25T20:05:00Z,close,2020-07-25T19:45:00Z,2020-07-25T19:45:00Z,offered,22,30,0,4999324,
8f0caf8ca1c09cf734a567de427eefc2|close|2020-07-25T19:45:00Z|us,8f0caf8ca1c09cf734a567de427eefc2,Texas Rangers,Colorado Rockies,2020-07-25T20:05:00Z,close,2020-07-25T19:45:00Z,2020-07-25T19:45:00Z,offered,22,30,0,4999294,
0844b8d00384592493fc0973f93c759d|close|2020-07-25T19:50:00Z|us,0844b8d00384592493fc0973f93c759d,New York Mets,Atlanta Braves,2020-07-25T20:10:00Z,close,2020-07-25T19:50:00Z,2020-07-25T19:45:00Z,offered,22,30,0,4999264,
a3b2f403560c9e07ebae80b41a687720|close|2020-07-25T19:50:00Z|us,a3b2f403560c9e07ebae80b41a687720,Houston Astros,Seattle Mariners,2020-07-25T20:10:00Z,close,2020-07-25T19:50:00Z,2020-07-25T19:45:00Z,offered,22,30,0,4999234,
af3883ba00027289ca32224fcf55ee44|close|2020-07-25T19:50:00Z|us,af3883ba00027289ca32224fcf55ee44,Oakland Athletics,Los Angeles Angels,2020-07-25T20:10:00Z,close,2020-07-25T19:50:00Z,2020-07-25T19:45:00Z,offered,22,30,0,4999204,
526f30ad39e9a91a61008af138df7c1c|close|2020-07-25T20:50:00Z|us,526f30ad39e9a91a61008af138df7c1c,Cincinnati Reds,Detroit Tigers,2020-07-25T21:10:00Z,close,2020-07-25T20:50:00Z,2020-07-25T20:45:00Z,offered,22,30,0,4999174,
ad1b3d95d2af116336e127c0c65bc47a|close|2020-07-25T20:50:00Z|us,ad1b3d95d2af116336e127c0c65bc47a,Cleveland Indians,Kansas City Royals,2020-07-25T21:10:00Z,close,2020-07-25T20:50:00Z,2020-07-25T20:45:00Z,offered,22,30,0,4999144,
75c82a0bbadac44418b8d69978a2d383|close|2020-07-25T22:55:00Z|us,75c82a0bbadac44418b8d69978a2d383,Washington Nationals,New York Yankees,2020-07-25T23:15:00Z,close,2020-07-25T22:55:00Z,2020-07-25T22:55:00Z,offered,22,30,0,4999114,
25659a8500457f2e21c6e5a03865cceb|close|2020-07-26T00:50:00Z|us,25659a8500457f2e21c6e5a03865cceb,San Diego Padres,Arizona Diamondbacks,2020-07-26T01:10:00Z,close,2020-07-26T00:50:00Z,2020-07-26T00:45:00Z,offered,19,30,0,4999084,
864990e41e94c9f17217bb8f0cf4319d|close|2020-07-26T16:45:00Z|us,864990e41e94c9f17217bb8f0cf4319d,Philadelphia Phillies,Miami Marlins,2020-07-26T17:05:00Z,close,2020-07-26T16:45:00Z,2020-07-26T16:45:00Z,offered,22,30,1,4999054,
285633d606a87327380da70b2681243f|close|2020-07-26T16:50:00Z|us,285633d606a87327380da70b2681243f,Cincinnati Reds,Detroit Tigers,2020-07-26T17:10:00Z,close,2020-07-26T16:50:00Z,2020-07-26T16:45:00Z,offered,22,30,0,4999024,
fdcdf82bb84c07034ac6ff5e2dd8a474|close|2020-07-26T17:15:00Z|us,fdcdf82bb84c07034ac6ff5e2dd8a474,Boston Red Sox,Baltimore Orioles,2020-07-26T17:35:00Z,close,2020-07-26T17:15:00Z,2020-07-26T17:15:00Z,offered,22,30,0,4998994,
af9bcb4967f0d627f5ed983c181916a0|close|2020-07-26T17:50:00Z|us,af9bcb4967f0d627f5ed983c181916a0,Houston Astros,Seattle Mariners,2020-07-26T18:10:00Z,close,2020-07-26T17:50:00Z,2020-07-26T17:45:00Z,offered,22,30,0,4998964,
6501bb5dae4a9e7edced65932aeea189|close|2020-07-26T17:50:00Z|us,6501bb5dae4a9e7edced65932aeea189,Chicago White Sox,Minnesota Twins,2020-07-26T18:10:00Z,close,2020-07-26T17:50:00Z,2020-07-26T17:45:00Z,offered,21,30,0,4998934,
92c9d4cd1534c85e194ba1aff6fc62fa|close|2020-07-26T17:55:00Z|us,92c9d4cd1534c85e194ba1aff6fc62fa,St. Louis Cardinals,Pittsburgh Pirates,2020-07-26T18:15:00Z,close,2020-07-26T17:55:00Z,2020-07-26T17:55:00Z,offered,19,30,0,4998904,
28036beef4157a0647c2552844ca7b80|close|2020-07-26T18:00:00Z|us,28036beef4157a0647c2552844ca7b80,Chicago Cubs,Milwaukee Brewers,2020-07-26T18:20:00Z,close,2020-07-26T18:00:00Z,2020-07-26T17:55:00Z,offered,22,30,0,4998874,
3e74d2ab935a6a24ed4baccd94463203|close|2020-07-26T18:15:00Z|us,3e74d2ab935a6a24ed4baccd94463203,Texas Rangers,Colorado Rockies,2020-07-26T18:35:00Z,close,2020-07-26T18:15:00Z,2020-07-26T18:15:00Z,offered,22,30,0,4998844,
91bd2458486e0efe0725e25ceff34a3c|close|2020-07-26T19:50:00Z|us,91bd2458486e0efe0725e25ceff34a3c,Oakland Athletics,Los Angeles Angels,2020-07-26T20:10:00Z,close,2020-07-26T19:50:00Z,2020-07-26T19:45:00Z,offered,22,30,0,4998814,
0a97fc5cc53638af105f884c1daf510b|close|2020-07-26T19:50:00Z|us,0a97fc5cc53638af105f884c1daf510b,San Diego Padres,Arizona Diamondbacks,2020-07-26T20:10:00Z,close,2020-07-26T19:50:00Z,2020-07-26T19:45:00Z,offered,19,30,0,4998784,
03e085028ef9b0089a50346ea8a88b5a|close|2020-07-26T22:48:00Z|us,03e085028ef9b0089a50346ea8a88b5a,New York Mets,Atlanta Braves,2020-07-26T23:08:00Z,close,2020-07-26T22:48:00Z,2020-07-26T22:45:00Z,offered,22,30,0,4998754,
93f4aebe4179b58a62dba10cf206da6c|close|2020-07-27T19:20:00Z|us,93f4aebe4179b58a62dba10cf206da6c,Oakland Athletics,Los Angeles Angels,2020-07-27T19:40:00Z,close,2020-07-27T19:20:00Z,2020-07-27T19:15:00Z,offered,22,30,1,4998724,
a49da66a2953fcc6daf0974b3ed21477|close|2020-07-27T21:45:00Z|us,a49da66a2953fcc6daf0974b3ed21477,Washington Nationals,Toronto Blue Jays,2020-07-27T22:05:00Z,close,2020-07-27T21:45:00Z,2020-07-27T21:45:00Z,offered,21,30,0,4998694,
d1753a7582d48a5376f2c398491829b8|close|2020-07-27T22:20:00Z|us,d1753a7582d48a5376f2c398491829b8,Tampa Bay Rays,Atlanta Braves,2020-07-27T22:40:00Z,close,2020-07-27T22:20:00Z,2020-07-27T22:15:00Z,offered,21,30,0,4998664,
