screened_at,game_pk,market,point,side,disagreement,gate,detail
2026-08-05T23:17:04Z,824885,totals,9.0,home,0.006429,below_edge_rule,0.0064 < 0.03
2026-08-05T23:17:04Z,824080,h2h,nan,away,-0.022659,below_edge_rule,0.0227 < 0.03
2026-08-05T23:17:04Z,824080,spreads,1.5,away,-0.045114,outside_lock_window,1467 min
2026-08-05T23:17:04Z,824080,totals,8.5,home,0.016892,below_edge_rule,0.0169 < 0.03
2026-08-05T23:17:04Z,824080,totals,9.0,home,0.012495,below_edge_rule,0.0125 < 0.03
2026-08-05T23:17:04Z,825053,h2h,nan,away,-0.049696,outside_lock_window,1587 min
2026-08-05T23:17:04Z,825053,spreads,1.5,away,-0.080373,outside_lock_window,1587 min
2026-08-05T23:17:04Z,825053,totals,8.5,home,0.057414,too_few_books,2
2026-08-05T23:17:04Z,825053,totals,9.0,home,0.086283,outside_lock_window,1587 min
2026-08-05T23:17:04Z,823106,h2h,,away,0.068823,day_cap,2026-08-05 at 3u
2026-08-05T23:17:04Z,824082,h2h,,away,0.061764,day_cap,2026-08-05 at 3u
2026-08-05T23:17:04Z,825052,totals,8.5,home,0.057993,day_cap,2026-08-05 at 3u
2026-08-05T23:17:04Z,824082,totals,8.5,home,0.046244,day_cap,2026-08-05 at 3u
2026-08-05T23:17:04Z,825052,h2h,,home,0.046041,day_cap,2026-08-05 at 3u
2026-08-05T23:17:04Z,823516,h2h,,away,0.043722,day_cap,2026-08-05 at 3u
2026-08-05T23:17:04Z,823516,spreads,-1.5,home,0.030359,day_cap,2026-08-05 at 3u
2026-08-06T00:59:04Z,825052,spreads,1.5,home,0.018459,below_edge_rule,0.0185 < 0.03
2026-08-06T00:59:04Z,823106,spreads,-1.5,home,0.009078,below_edge_rule,0.0091 < 0.03
2026-08-06T00:59:04Z,823106,totals,7.5,home,0.029744,below_edge_rule,0.0297 < 0.03
2026-08-06T00:59:04Z,824804,h2h,nan,away,-0.03718,outside_lock_window,936 min
2026-08-06T00:59:04Z,824804,spreads,-1.5,home,0.03243,outside_lock_window,936 min
2026-08-06T00:59:04Z,824804,totals,9.5,away,-0.044958,outside_lock_window,936 min
2026-08-06T00:59:04Z,824804,totals,10.0,away,-0.06669,too_few_books,1
2026-08-06T00:59:04Z,824481,h2h,nan,away,-0.01444,below_edge_rule,0.0144 < 0.03
2026-08-06T00:59:04Z,824481,spreads,-1.5,home,0.062827,outside_lock_window,940 min
2026-08-06T00:59:04Z,824481,totals,9.5,away,-0.03221,outside_lock_window,940 min
2026-08-06T00:59:04Z,824401,h2h,nan,home,0.020522,below_edge_rule,0.0205 < 0.03
2026-08-06T00:59:04Z,824401,spreads,1.5,away,-0.001724,below_edge_rule,0.0017 < 0.03
2026-08-06T00:59:04Z,824401,totals,7.5,home,0.057894,outside_lock_window,971 min
2026-08-06T00:59:04Z,824401,totals,8.0,home,0.053223,too_few_books,1
2026-08-06T00:59:04Z,823754,h2h,nan,home,0.008543,below_edge_rule,0.0085 < 0.03
2026-08-06T00:59:04Z,823754,spreads,-1.5,home,0.091066,outside_lock_window,1031 min
2026-08-06T00:59:04Z,823754,totals,7.5,home,0.073392,outside_lock_window,1031 min
2026-08-06T00:59:04Z,824664,h2h,nan,home,0.081063,outside_lock_window,1041 min
2026-08-06T00:59:04Z,824664,spreads,1.5,home,0.035888,too_few_books,2
2026-08-06T00:59:04Z,824664,totals,7.5,home,0.095591,too_few_books,2
2026-08-06T00:59:04Z,823105,h2h,nan,away,-0.088332,outside_lock_window,1151 min
2026-08-06T00:59:04Z,823105,spreads,-1.5,away,-0.014971,below_edge_rule,0.0150 < 0.03
2026-08-06T00:59:04Z,823105,totals,7.5,home,0.006775,below_edge_rule,0.0068 < 0.03
2026-08-06T00:59:04Z,823430,h2h,nan,away,-0.176453,outside_lock_window,1266 min
2026-08-06T00:59:04Z,823430,spreads,-1.5,away,-0.107388,outside_lock_window,1266 min
