event_id,game_pk,official_date,season,market,point,entry_prob,close_prob,entry_books,close_books,entry_lead_hours,close_lead_hours,trained_through,model_prob,entry_logit,close_logit,move_logit,abs_entry_logit,leader_gap_logit,follower_gap_logit,leader_available,follower_available,entry_market_spread,month_sin,month_cos,model_gap_logit
775a65959f326127f234f81de4983380,661042,2022-04-07,2022,h2h,0.0,0.5427435387673957,0.5305667495498585,18,19,24.07,0.4,2021-10-03,0.5511622502213662,0.17139248626176457,0.12241965700825508,-0.04897282925350949,0.17139248626176457,-0.027101112756068024,0.0031439151729709403,1.0,1.0,0.016552632937199108,0.8660254037844387,-0.4999999999999998,0.03397528118768883
775a65959f326127f234f81de4983380,661042,2022-04-07,2022,spreads,-1.5,0.3803152393899851,0.3766105054509415,14,15,24.07,0.4,2021-10-03,0.39371844210900203,-0.48821041195187526,-0.5039600039800094,-0.01574959202813414,0.48821041195187526,-0.0321730750537958,0.009903356551586973,1.0,1.0,0.030071486701756633,0.8660254037844387,-0.4999999999999998,0.0565019567049071
a32c866434fb2bb6f9386a97d440ef95,661577,2022-04-07,2022,h2h,0.0,0.6450877107639139,0.6206404242300633,18,19,24.07,0.4,2021-10-03,0.49866000348444356,0.5975156068574912,0.4922673831897244,-0.10524822366776676,0.5975156068574912,-0.05045511359018395,0.003174462880535689,1.0,1.0,0.022782631507331397,0.8660254037844387,-0.4999999999999998,-0.6028756057522269
a32c866434fb2bb6f9386a97d440ef95,661577,2022-04-07,2022,spreads,-1.5,0.47996621190870836,0.4567985226941393,16,15,24.07,0.4,2021-10-03,0.3228428836879729,-0.08017807699573457,-0.1732378715715484,-0.09305979457581384,0.08017807699573457,0.008530610141522801,-0.02834162228682112,1.0,1.0,0.02877522563298751,0.8660254037844387,-0.4999999999999998,-0.6605594695936614
a32c866434fb2bb6f9386a97d440ef95,661577,2022-04-07,2022,totals,8.5,0.4956679951481545,0.4891657638136511,16,17,24.07,0.4,2021-10-03,0.4961159109659107,-0.017328453003206967,-0.04334372921647221,-0.026015276213265246,0.017328453003206967,0.017328453003206967,-0.021672981820593584,1.0,1.0,0.019823788546255605,0.8660254037844387,-0.4999999999999998,0.0017917843438511535
5491f3450ed7911ae420920ca5f9a5ce,662021,2022-04-07,2022,h2h,0.0,0.6449765548326123,0.5925658310947224,12,18,24.02,0.35,2021-10-03,0.5361118429851842,0.5970301370186761,0.3745826032383729,-0.22244753378030324,0.5970301370186761,-0.004687655580696837,0.02009455706629637,1.0,1.0,0.021246880898955878,0.8660254037844387,-0.4999999999999998,-0.4523308176839088
5491f3450ed7911ae420920ca5f9a5ce,662021,2022-04-07,2022,spreads,-1.5,0.4838389932770212,0.43122881200217733,11,14,24.02,0.35,2021-10-03,0.3684265824522499,-0.06466655248872742,-0.2768393876443871,-0.21217283515565966,0.06466655248872742,-0.00017177729559539334,0.0,1.0,1.0,0.034354130005335715,0.8660254037844387,-0.4999999999999998,-0.4743061832556258
5491f3450ed7911ae420920ca5f9a5ce,662021,2022-04-07,2022,totals,8.0,0.5,0.4891657638136511,10,15,24.02,0.35,2021-10-03,0.6032805833414265,0.0,-0.04334372921647221,-0.04334372921647221,0.0,0.0,-0.013174263965318192,1.0,1.0,0.010834236186348878,0.8660254037844387,-0.4999999999999998,0.4191531290747818
c36929c71edb1793278df07346567743,662766,2022-04-07,2022,h2h,0.0,0.46650492086480033,0.46621146921928514,12,18,24.1,0.43,2021-10-03,0.47410349025505616,-0.13418127825082335,-0.13536042295466183,-0.0011791447038384806,0.13418127825082335,-0.018578473294074915,0.002874170081121452,1.0,1.0,0.023449235756901998,0.8660254037844387,-0.4999999999999998,0.030502466140301512
c36929c71edb1793278df07346567743,662766,2022-04-07,2022,spreads,1.5,0.5891701474738762,0.5973689255058008,10,14,24.1,0.43,2021-10-03,0.5933027051961731,0.36053587244326274,0.3945141934386695,0.03397832099540676,0.36053587244326274,-0.03408977636834626,0.010763413374574149,1.0,1.0,0.01899130468648591,0.8660254037844387,-0.4999999999999998,0.017099699071957797
abdcd47cac870b5a97e9035dde0e097b,663178,2022-04-07,2022,h2h,0.0,0.3907637655417407,0.3747984954325632,11,19,24.1,0.43,2021-10-03,0.3831387576440371,-0.4441029008135784,-0.5116854690468255,-0.06758256823324715,0.4441029008135784,-0.012880914990283987,0.024097551579060628,1.0,1.0,0.019297591554786997,0.8660254037844387,-0.4999999999999998,-0.03214399189923195
