game_pk,event_id,official_date,commence_time,home_team,away_team,yrfi,market_prob_yrfi,market_books,provider_events,season,home_elo,away_elo,elo_diff,home_off,home_def,away_off,away_def,home_recent_off,home_recent_def,away_recent_off,away_recent_def,home_rest,away_rest,rest_diff,home_games_played,away_games_played,home_sp_rate,away_sp_rate,home_sp_recent,away_sp_recent,home_sp_starts,away_sp_starts,home_sp_rest,away_sp_rest,home_sp_k_rate,away_sp_k_rate,home_sp_bb_rate,away_sp_bb_rate,home_sp_hr_rate,away_sp_hr_rate,home_sp_depth,away_sp_depth,home_bp_rate,away_bp_rate,home_bp_workload,away_bp_workload,park_factor,elevation_km,ump_run_rate,ump_k_rate,temp_c,air_density_index,wind_out_to_center_ms,wind_left_to_right_ms,precip_mm,roof_retractable,roof_dome,expected_home_runs_prior,expected_away_runs_prior,feature_date,market_logit
717895,8e2959015bbdebfc16b71826cce3b752,2023-06-04,2023-06-04T18:10:00Z,Minnesota Twins,Cleveland Guardians,0.0,0.4548257786000616,3,1,2023,1511.5541606678096,1497.8885668344822,37.66559383332742,4.504596070718072,4.035773455169894,4.023647359940111,4.35736677668698,4.589438575563644,3.867727121727466,3.679103968313342,4.183914172521649,1,1,0,59,58,3.69811320754717,3.796875,3.1,3.1,43,54,5,15,0.2597211643994096,0.2596414463958183,0.0817210997767769,0.0875036088351882,0.0310033805527901,0.0370162914375003,16.651162790697676,16.925925925925927,4.510016031057937,3.830827914303237,16.0,18.0,0.9952093948340044,0.25237,0.26380244603064,0.1167087395543191,31.3,1.08978,-0.98,0.543,0.0,0,0,4.340921425234732,3.591274850288377,2023-06-04,-0.18119097442366877
717896,40c9e96f1bbe986a656080aa0c09cdea,2023-06-04,2023-06-04T17:40:00Z,Miami Marlins,Oakland Athletics,0.0,0.4478339079598261,3,1,2023,1468.7201996637928,1374.1932581504268,118.52694151336595,4.152054955393863,4.572606095134163,3.8354423454888296,6.012575535271712,4.593888742989472,3.8951322691996673,2.6571419482529377,6.258997115262448,1,1,0,59,60,3.6627906976744176,4.7317073170731705,5.7,6.1,76,31,5,6,0.2317553552758026,0.193685892199045,0.0750052555989155,0.079315867915345,0.0221650732455693,0.0338579096653275,19.88157894736842,14.870967741935484,4.504515637453661,4.970068414137495,21.0,39.0,0.9331892214173408,0.0030499999999999,-0.0035452965138382,0.1896143666829957,27.5,1.06284,-1.951,0.274,0.0,1,0,5.177031871385963,3.636942625196225,2023-06-04,-0.2094264698831022
717887,3bc3a230d3e8371807179948d3100d98,2023-06-05,2023-06-05T22:40:00Z,Miami Marlins,Kansas City Royals,1.0,0.4357298474945533,3,1,2023,1470.1956318782995,1416.1278606423548,78.06777123594475,4.185545988050103,4.580459735761521,4.0837863360905295,4.8254170968507,4.696097283497139,3.9511808448480257,3.844158399608459,4.057025431099769,1,1,0,60,59,3.909090909090909,4.7,3.8,5.3,34,20,5,15,0.234780992760848,0.1767514166838301,0.0936700380593131,0.1147708216139643,0.0269805191070618,0.025072741772263,14.941176470588236,13.8,4.498486483953075,4.822718372113204,18.0,22.0,0.9346660575192756,0.0030499999999999,-0.6697096635940358,-0.0568107180720858,27.9,1.05824,-0.64,4.555,0.0,1,0,4.194990043623677,3.8852237897374007,2023-06-05,-0.2585106951515015
717928,8f6b767942a8a19aa10df5efef09cb98,2023-06-05,2023-06-05T20:05:00Z,Boston Red Sox,Tampa Bay Rays,0.0,0.4809829691924101,3,1,2023,1503.9714172142403,1579.3625181959376,-51.39110098169704,4.733865164215866,4.62451611818639,5.394004279431905,4.155085298170563,3.946774711898652,4.525979685989826,5.250246734923659,5.091563587623923,1,1,0,59,61,4.931034482758621,3.25,5.2,2.6,19,66,6,6,0.2179728682949634,0.2820604415118702,0.0967911925413906,0.076953732780942,0.0226995307502538,0.0281214073943035,14.473684210526317,16.333333333333332,4.798540781348741,4.006338122014871,43.0,40.0,1.1147195302364863,0.0064,0.2244826986611023,0.0991091539186328,13.9,1.00731,-0.285,-0.145,0.0,0,0,4.872467194097983,6.1791776395867135,2023-06-05,-0.07610483489113974
717864,0f1fb9d8ec9800aa7b8868a97b419d6e,2023-06-06,2023-06-07T01:40:00Z,San Diego Padres,Seattle Mariners,0.0,0.4809829691924101,3,1,2023,1512.342996350572,1514.763356179434,21.579640171137957,4.351098590142506,4.225753210966568,4.508800213461059,4.451583420732402,4.254858088326463,3.5662102444214536,4.500642727209644,4.737350360136055,1,2,-1,60,59,3.858974358974359,3.896103896103896,3.9,4.1,68,67,5,7,0.253047189070842,0.2440989265106108,0.0874541359437393,0.0691909327039642,0.0306318304350111,0.0290873554015904,17.36764705882353,16.52238805970149,4.12023157146692,4.108954779311489,31.0,17.0,0.9249800175204368,0.00701,0.2660730303066678,0.1411607122950293,18.2,1.01901,0.209,3.995,0.0,0,0,3.981376760822893,3.916381217432327,2023-06-06,-0.07610483489113974
717867,02900d0d1c74c725676588a1f5c3c50c,2023-06-06,2023-06-06T23:40:00Z,Milwaukee Brewers,Baltimore Orioles,1.0,0.4884821578153794,3,1,2023,1505.968783757825,1518.6741338214156,11.294649936409089,4.236802343248673,4.441970389628221,4.699052974031436,4.3897492963640605,3.328481292141211,5.1692087794357215,4.194524869079181,4.123254078187406,1,2,-1,60,59,4.138461538461539,4.7023809523809526,6.4,3.4,55,74,5,7,0.2820988702768059,0.199885125468865,0.1037333532816178,0.086527860135767,0.0261683879813459,0.0268096587813612,15.21818181818182,17.136986301369863,4.442273997937464,4.860157696889221,11.0,11.0,0.977209470313084,0.18197,0.0392882381961943,0.1448924623651599,17.6,1.03624,1.494,4.34,0.0,1,0,4.038806763629302,4.532743602050088,2023-06-06,-0.046079520480038834
717871,6e045995cd58eedbc0253501dc1a0b82,2023-06-06,2023-06-06T23:07:00Z,Toronto Blue Jays,Houston Astros,1.0,0.4745762711864407,3,1,2023,1543.487604045768,1574.733778076174,-7.246174030406109,4.616330513470148,4.361036969922851,4.629710107029076,3.971780906727823,4.417433030675838,4.054521399981749,5.098454906466006,3.180209625130725,1,1,0,61,60,4.034883720930233,3.695652173913044,4.2,3.0,76,13,5,6,0.2882113624116466,0.2606298807843111,0.0599841659012293,0.0922320727865539,0.0235120123233856,0.0201957538843611,17.43421052631579,17.153846153846153,4.316599724472964,3.9535273555124455,38.0,13.0,0.9896128877420484,0.0823,0.6096848800231278,0.2476740518804696,22.0,1.04329,-6.027,2.435,0.0,1,0,4.032134474378194,4.440137253442464,2023-06-06,-0.10178269430994223
717873,1dfd05f400d41e87e4fb12015c7ee7e8,2023-06-06,2023-06-06T23:10:00Z,Cleveland Guardians,Boston Red Sox,1.0,0.4694544401704098,3,1,2023,1499.4245637589554,1501.6059723040432,21.818591454912166,4.003303723284898,4.323502603847082,4.695497378992346,4.614154422679084,3.6761885452512457,4.224106719143129,3.704352813301702,4.510481911961482,2,1,1,59,60,3.289855072463768,5.066666666666666,4.2,6.2,59,5,6,6,0.2517995501807461,0.2616744940669328,0.0679595386612881,0.0954765302133431,0.025215620657586,0.0355042502613055,18.89830508474576,12.2,3.826404308380714,4.795087763777557,12.0,21.0,0.9483723701546648,0.19903,-0.4956773762045134,-0.3398826382179898,19.5,1.04797,-2.019,2.585,0.0,0,0,3.892934032868848,4.278422862582656,2023-06-06,-0.12233458039030226
717876,6ebf580b1fdd85d58e4c08f9f5bb16b5,2023-06-06,2023-06-06T22:40:00Z,Miami Marlins,Kansas City Royals,0.0,0.4493402093129076,3,1,2023,1472.3555051449266,1413.9679873757275,82.3875177691989,4.239442637271671,4.598667115007634,4.107142523125813,4.8734540014764764,5.00445460480211,4.015939593752369,3.9098067942298873,4.403964172084239,1,1,0,61,60,4.482758620689655,4.441558441558442,4.7,5.0,48,67,5,7,0.2602683532823021,0.1636258726587451,0.0990628474929687,0.0562860843694512,0.0307042790943803,0.034231182146057,15.770833333333334,16.47761194029851,4.498517651319448,4.856509045188732,18.0,28.0,0.9371708674692384,0.0030499999999999,0.1002893518518526,-0.0631613756613731,26.9,1.05346,-2.537,1.465,0.0,1,0,4.30280733865159,3.9334896616769055,2023-06-06,-0.20333687337691514
717882,30b0538856d16df168209b48feea7407,2023-06-06,2023-06-06T22:40:00Z,Tampa Bay Rays,Minnesota Twins,0.0,0.4563894523326572,3,1,2023,1581.727963106135,1510.0181637433363,95.70979936279856,5.376301752843903,4.12314413487344,4.46959824666626,4.015511993928935,5.317156615988288,4.974199090031278,4.629631122185123,3.864811698665369,1,2,-1,62,60,4.470588235294118,4.045454545454546,3.3,3.4,41,12,6,6,0.2220550172700756,0.2227506751757125,0.0570729023808685,0.0742712378941087,0.0319972362929974,0.040330789240247,17.097560975609756,16.75,3.999446093008094,4.503291999983209,21.0,7.0,0.9512195517899604,0.00457,0.372090956431176,0.4168831800034702,30.4,1.0655,0.0,0.0,0.0,0,1,4.563444974179931,3.8955183954494177,2023-06-06,-0.17488657830643636
