event_id,game_pk,official_date,season,market,close_point,close_prob,close_books,outcome,model_prob_gbm,model_prob_glm,model_prob_ensemble
1cd2c22eb573dfd0b76042ada8852cd3,662443,2022-08-10,2022,totals,9.0,0.4782608695652174,17,1.0,0.6086002267983214,0.4752643606819319,0.5419322937401266
1cda258d68438b17671e7d381aa2ab9f,745275,2024-04-03,2024,totals,7.5,0.4782608695652174,14,1.0,0.5534498998490394,0.47835334113458733,0.5159016204918133
1cdb02330c8e3bacfd0277ad15e9faeb,717304,2023-07-22,2023,totals,8.0,0.5108342361863488,14,0.0,0.38136068189758854,0.4083215456155467,0.3948411137565676
1ce8fde2f6995111fbfe454d86bd6aaa,718387,2023-04-28,2023,totals,7.5,0.5120034919249236,16,1.0,0.606361817710448,0.46488991950240155,0.5356258686064248
1cf4edb5bd81a3a2c597339462a3bab5,663341,2022-04-13,2022,totals,8.5,0.5,17,0.0,0.413640402550801,0.5131534174815041,0.4633969100161526
1d0020cee7076d619e97ca4914786326,632512,2021-09-12,2021,totals,9.0,0.4891657638136511,13,1.0,,,
1d0340cde7372ee055203c0e8ad18387,717514,2023-07-03,2023,totals,9.5,0.4773218142548596,9,1.0,0.43723811615837505,0.4376098144064959,0.43742396528243543
1d07d185c8382bcafb851da978907ec0,746671,2024-08-27,2024,totals,10.0,0.5045156920298035,9,0.0,0.4374811270848664,0.4745263392523805,0.45600373316862347
1d26f0c697bff5d6dca37a05b0224636,633500,2021-06-26,2021,totals,8.0,0.5,11,1.0,,,
1d33fc9c2dfe0eb3ffcd6e8af6df8aa5,746339,2024-09-22,2024,totals,8.0,0.5,10,1.0,0.5394989208243959,0.5177320691271206,0.5286154949757582
1d3a936c71f42891d4830c85d0108248,718403,2023-04-27,2023,totals,7.5,0.4891657638136511,18,1.0,0.4398010281801107,0.5113028405908282,0.47555193438546944
1d408856580fa09604b6630a26841c0b,633945,2021-05-25,2021,totals,8.5,0.4891657638136511,11,0.0,,,
1d553198183ebee2ae464f788cfbd3d4,717469,2023-07-06,2023,totals,9.0,0.5217391304347826,13,0.0,0.47342977910053863,0.39814533050309875,0.4357875548018187
1d58619f5ec5a3ccee68098c750f6229,661438,2022-09-03,2022,totals,7.5,0.4757785467128028,15,1.0,0.4057467513813432,0.3954249286675661,0.40058584002445463
1d5a7592d99195265863e651c4b482b4,745981,2024-06-11,2024,totals,8.5,0.4863398456105897,12,0.0,0.5066783897545569,0.44932468654537167,0.47800153814996427
1d742e4710abbae9fde76e5b26b1857e,632513,2021-09-12,2021,totals,9.0,0.5108342361863488,13,0.0,,,
1d819b1c963f693f58f6b264eb4f5003,716391,2023-09-29,2023,totals,8.5,0.5108342361863488,16,0.0,0.19012021124458178,0.3652741467235316,0.27769717898405666
1d89e7b24890817d2e15ec752b345e9a,718206,2023-05-12,2023,totals,8.5,0.5,17,0.0,0.2532043892160458,0.35691842801609514,0.30506140861607045
1d9595fb29740c027151deb50b6be2e0,634417,2021-04-20,2021,totals,8.0,0.5162866833105657,10,0.0,,,
1d9de4ef198a51cda71da1ce4c4506a2,745209,2024-09-14,2024,totals,6.5,0.4795792726132258,8,1.0,0.6257528207074824,0.475306036289461,0.5505294284984716
