game_pk,game_date,player_id,role,is_home,pitches,batters_faced,swings,whiffs,called_strikes,in_zone,batted_balls,barrels,xwoba_sum,xwoba_denom,woba_sum,woba_denom,launch_speed_sum,launch_speed_count,release_speed_sum,release_speed_count,spin_rate_sum,spin_rate_count,delta_run_exp_sum
661042,2022-04-07,519151,pitcher,0.0,8,3.0,4.0,0.0,1.0,2.0,3.0,0.0,1.6604,3.0,0.9,3.0,274.0,4.0,700.8,8.0,22040.0,8.0,-0.1089999999999999
661042,2022-04-07,571901,pitcher,1.0,16,3.0,6.0,3.0,3.0,6.0,2.0,0.0,0.1699999999999999,3.0,0.0,3.0,240.8,3.0,1370.0,16.0,35914.0,16.0,-0.774
661042,2022-04-07,572193,pitcher,1.0,16,5.0,11.0,1.0,1.0,9.0,5.0,1.0,3.5142857142857142,5.0,4.0,5.0,796.0,9.0,1405.3,16.0,35866.0,16.0,1.481
661042,2022-04-07,593576,pitcher,0.0,5,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.07,1.0,0.0,1.0,171.1,2.0,458.6,5.0,11362.0,5.0,-0.298
661042,2022-04-07,605151,pitcher,1.0,15,4.0,6.0,0.0,2.0,8.0,3.0,0.0,0.927744,4.0,0.7,4.0,358.0,5.0,1322.2,15.0,27761.0,14.0,-0.4679999999999999
661042,2022-04-07,650671,pitcher,1.0,2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5874444444444444,1.0,0.0,1.0,99.2,1.0,175.5,2.0,4738.0,2.0,-0.298
661042,2022-04-07,660271,pitcher,1.0,80,19.0,32.0,14.0,19.0,40.0,9.0,1.0,4.625319863678805,19.0,5.0,19.0,1411.1,17.0,7241.0,80.0,172225.0,80.0,-0.9369999999999998
661042,2022-04-07,664208,pitcher,0.0,14,5.0,9.0,4.0,1.0,6.0,3.0,1.0,3.2969630000000003,5.0,2.3,5.0,434.7,5.0,1195.1,14.0,13157.0,5.0,0.931
661042,2022-04-07,664285,pitcher,0.0,84,22.0,37.0,11.0,17.0,44.0,15.0,0.0,3.126744,22.0,3.4,22.0,2063.9,26.0,7348.9,84.0,192389.0,84.0,-3.004
661042,2022-04-07,681810,pitcher,1.0,15,6.0,6.0,1.0,1.0,6.0,5.0,0.0,1.5224761904761903,5.0,2.9,5.0,395.8,5.0,1010.0,11.0,26487.0,11.0,0.8160000000000001
661577,2022-04-07,458677,pitcher,0.0,15,3.0,10.0,6.0,2.0,8.0,1.0,0.0,0.586,3.0,0.0,3.0,306.0,4.0,1353.9,15.0,37356.0,15.0,-0.748
661577,2022-04-07,543521,pitcher,1.0,16,3.0,9.0,1.0,2.0,7.0,2.0,0.0,0.8544285714285715,3.0,2.9,3.0,566.9,7.0,1322.4,16.0,41999.0,16.0,1.71
661577,2022-04-07,570666,pitcher,0.0,18,5.0,5.0,1.0,3.0,7.0,3.0,0.0,1.812488,5.0,1.4,5.0,321.2,4.0,1577.9,18.0,39159.0,18.0,-0.153
661577,2022-04-07,592804,pitcher,1.0,18,3.0,9.0,4.0,2.0,11.0,1.0,0.0,0.0,3.0,0.0,3.0,228.0,3.0,1563.5,18.0,43249.0,18.0,-0.746
661577,2022-04-07,608331,pitcher,1.0,84,26.0,42.0,10.0,14.0,41.0,19.0,1.0,8.597918538461538,26.0,8.6,26.0,2403.4,30.0,7357.7,84.0,195750.0,84.0,0.029
661577,2022-04-07,641816,pitcher,0.0,84,20.0,35.0,13.0,16.0,32.0,11.0,0.0,6.417557444444444,20.0,4.1,20.0,1770.1,21.0,7523.0,84.0,198281.0,84.0,-1.913
661577,2022-04-07,663574,pitcher,0.0,15,3.0,8.0,4.0,3.0,8.0,1.0,0.0,0.3,3.0,0.0,3.0,321.0,4.0,1364.5,15.0,34882.0,15.0,-0.749
661577,2022-04-07,664294,pitcher,0.0,26,5.0,12.0,4.0,2.0,15.0,2.0,1.0,2.5758154285714285,5.0,2.7,5.0,692.5,8.0,2377.8,26.0,55843.0,26.0,0.755
