game_pk,game_date,player_id,role,is_home,pitches,batters_faced,swings,whiffs,called_strikes,in_zone,batted_balls,barrels,xwoba_sum,xwoba_denom,woba_sum,woba_denom,launch_speed_sum,launch_speed_count,release_speed_sum,release_speed_count,spin_rate_sum,spin_rate_count,delta_run_exp_sum
823081,2026-03-26,592773,pitcher,1.0,26,6.0,9.0,6.0,3.0,5.0,2.0,0.0,2.325632,6.0,2.1,6.0,198.2,3.0,2473.8,26.0,56324.0,26.0,0.1019999999999999
823081,2026-03-26,643377,pitcher,0.0,14,3.0,10.0,3.0,1.0,7.0,3.0,1.0,2.17,3.0,2.0,3.0,491.9,6.0,1307.0,14.0,39846.0,14.0,0.977
823081,2026-03-26,656876,pitcher,0.0,73,20.0,39.0,7.0,10.0,41.0,18.0,1.0,5.258,20.0,6.5,20.0,2416.0,29.0,6779.0,73.0,182425.0,73.0,-0.565
823081,2026-03-26,664076,pitcher,0.0,9,3.0,7.0,2.0,0.0,5.0,3.0,1.0,1.711,3.0,1.8,3.0,412.3,5.0,803.2,9.0,22838.0,9.0,0.27
823081,2026-03-26,668941,pitcher,1.0,9,4.0,5.0,0.0,2.0,6.0,4.0,0.0,1.579,4.0,1.8,4.0,469.8,5.0,805.1,9.0,20825.0,9.0,0.178
823081,2026-03-26,669461,pitcher,1.0,78,24.0,40.0,5.0,9.0,39.0,20.0,1.0,6.814088,24.0,8.8,24.0,2867.4,35.0,6935.3,78.0,184762.0,78.0,1.447
823081,2026-03-26,672782,pitcher,0.0,32,9.0,13.0,2.0,6.0,16.0,7.0,0.0,2.655,8.0,2.2,8.0,733.8,9.0,2538.1,28.0,69342.0,28.0,-0.8859999999999999
823081,2026-03-26,676617,pitcher,1.0,17,5.0,8.0,1.0,3.0,8.0,3.0,0.0,0.5589999999999999,5.0,0.9,5.0,503.8,6.0,1596.2,17.0,39786.0,17.0,-0.655
823081,2026-03-26,677865,pitcher,1.0,9,3.0,2.0,0.0,2.0,4.0,2.0,0.0,1.658544,3.0,1.6,3.0,195.8,2.0,755.2,9.0,20418.0,9.0,0.436
823081,2026-03-26,688297,pitcher,1.0,13,4.0,6.0,0.0,2.0,6.0,4.0,0.0,1.053,4.0,2.7,4.0,390.7,5.0,1234.4,13.0,27931.0,13.0,1.419
