game_pk,game_date,player_id,role,is_home,pitches,batters_faced,swings,whiffs,called_strikes,in_zone,batted_balls,barrels,xwoba_sum,xwoba_denom,woba_sum,woba_denom,launch_speed_sum,launch_speed_count,release_speed_sum,release_speed_count,spin_rate_sum,spin_rate_count,delta_run_exp_sum
718767,2023-03-30,622491,pitcher,1.0,76,19.0,44.0,13.0,15.0,40.0,13.0,0.0,2.842,19.0,0.9,19.0,2206.4,27.0,7091.0,76.0,165414.0,74.0,-4.382000000000001
718767,2023-03-30,623149,pitcher,1.0,12,3.0,7.0,3.0,3.0,9.0,2.0,0.0,0.045,3.0,0.0,3.0,293.7,4.0,1067.5,12.0,29373.0,12.0,-0.806
718767,2023-03-30,660853,pitcher,0.0,6,2.0,4.0,1.0,1.0,4.0,1.0,0.0,0.034,2.0,0.0,2.0,261.8,3.0,548.9,6.0,12629.0,6.0,-0.543
718767,2023-03-30,662253,pitcher,1.0,15,5.0,8.0,1.0,2.0,10.0,5.0,0.0,1.504,5.0,2.15,5.0,518.6,6.0,1390.1,15.0,31040.0,15.0,0.4009999999999999
718767,2023-03-30,663986,pitcher,0.0,12,3.0,5.0,1.0,2.0,5.0,2.0,1.0,1.2975,3.0,0.0,3.0,280.9,3.0,1080.9,12.0,26418.0,12.0,-0.809
718767,2023-03-30,666374,pitcher,1.0,18,4.0,7.0,4.0,3.0,7.0,2.0,0.0,0.976,4.0,0.9,4.0,265.6,3.0,1605.4,18.0,50129.0,18.0,-0.475
718767,2023-03-30,669456,pitcher,0.0,87,23.0,42.0,10.0,15.0,46.0,20.0,2.0,7.832564761904762,23.0,6.1000000000000005,23.0,2683.1,31.0,7514.3,87.0,203596.0,86.0,-1.906
718767,2023-03-30,675916,pitcher,0.0,25,4.0,11.0,0.0,2.0,9.0,2.0,0.0,2.064908,4.0,3.4,4.0,868.4,11.0,2244.0,24.0,53220.0,24.0,1.709
718768,2023-03-30,519151,pitcher,1.0,21,6.0,11.0,3.0,2.0,12.0,4.0,0.0,2.230903,6.0,2.85,6.0,584.2,7.0,1872.0,21.0,58132.0,21.0,0.7829999999999999
718768,2023-03-30,593576,pitcher,1.0,17,6.0,10.0,3.0,2.0,8.0,3.0,0.0,1.026,5.0,2.5,6.0,461.1,5.0,1505.8,17.0,32393.0,17.0,0.469
718768,2023-03-30,606160,pitcher,1.0,10,4.0,7.0,4.0,0.0,4.0,3.0,1.0,1.6888297872340423,4.0,2.9,4.0,275.5,3.0,951.3,10.0,22514.0,10.0,2.522
718768,2023-03-30,607481,pitcher,0.0,17,3.0,6.0,5.0,3.0,5.0,0.0,0.0,0.695903,3.0,0.7,3.0,66.3,1.0,1492.7,17.0,40989.0,17.0,-0.228
718768,2023-03-30,608665,pitcher,0.0,11,3.0,6.0,0.0,2.0,6.0,3.0,0.0,0.787,3.0,0.9,3.0,495.5,6.0,1017.9,11.0,26265.0,11.0,-0.193
718768,2023-03-30,625643,pitcher,0.0,27,5.0,16.0,2.0,3.0,14.0,3.0,1.0,2.9699030000000004,5.0,2.7,5.0,1112.9,14.0,2594.8,27.0,61440.0,27.0,1.112
718768,2023-03-30,650556,pitcher,1.0,12,3.0,8.0,1.0,1.0,7.0,2.0,0.0,0.209,3.0,0.0,3.0,526.2,7.0,1089.1,12.0,33554.0,12.0,-0.808
718768,2023-03-30,656302,pitcher,0.0,86,22.0,46.0,15.0,16.0,39.0,11.0,1.0,4.679986818181818,22.0,2.5,22.0,2221.2,28.0,7621.2,86.0,240592.0,86.0,-3.839
718768,2023-03-30,664285,pitcher,1.0,85,22.0,39.0,9.0,17.0,41.0,17.0,0.0,5.797005,21.0,6.45,21.0,2234.9,25.0,7575.7,85.0,197851.0,85.0,-1.298
718769,2023-03-30,543507,pitcher,1.0,21,5.0,7.0,2.0,4.0,6.0,3.0,0.0,1.203,4.0,1.3,4.0,404.1,4.0,1501.0,17.0,34224.0,17.0,-0.411
718769,2023-03-30,571901,pitcher,0.0,15,3.0,10.0,3.0,1.0,9.0,2.0,0.0,0.7760833333333333,3.0,2.15,3.0,437.6,5.0,1203.5,15.0,33910.0,15.0,0.832
718769,2023-03-30,572193,pitcher,0.0,12,4.0,5.0,0.0,0.0,4.0,3.0,0.0,1.783,3.0,2.2,3.0,477.6,5.0,969.3,11.0,23290.0,11.0,0.867
718769,2023-03-30,623474,pitcher,0.0,16,3.0,9.0,1.0,2.0,10.0,2.0,0.0,0.298,3.0,0.0,3.0,625.7,8.0,1282.4,16.0,40822.0,16.0,-0.808
718769,2023-03-30,642758,pitcher,1.0,21,3.0,15.0,2.0,1.0,11.0,1.0,0.0,0.246,3.0,0.0,3.0,854.9,11.0,1760.9,20.0,38133.0,20.0,-0.755
